Sample_ID	WWTP_ID	Site_ID	Site_Name	Sampling_Date	Latitude	Longitude	City Name	Country/Region	Continent	Climate type	Annual average	Annual mean of daily maximum	Annual mean of daily minimum	Sampling month average	Sampling moment	Annual	Sampling month	GDP per capita (dollars)	City population	Year_Built	Designed capacity (m3/d)	Actual Inf rate (m3/d)	Volume of aeration tanks (m3)	HTR_plant	HTR_aeration_tank	SRT	A5_general_type	A5_detailed	Nitrificaiton	Denitrification	Aerator_type	BOD_Inf	BOD_inf/(1+recycle ratio)	BOD_Aeration tank inf	BOD_eff	COD_Inf	COD_inf/(1+recycle ratio)	COD_Aeration tank inf	COD_eff	F/M (kg BOD/kg MLSS-d)	NH4_Inf	NH4_Aeration tank inf	NH4_Eff	NH4_Inf	TN_Aeration tank inf	TN_Eff	TP_Inf	TP_Aeration tank inf	TP_eff	IndWaste_Contained in Inf?	IndWaste_Percentage	MLSS (mg/l)	DO (mg/l)	pH	Mixed liquid temperature (oC)	Conductivity (_S/cm)	NH4-N (mg/l)	NO3-N (mg/l)	SVI (ml/g)
SAKR1	SAKR1	SACT	Cape Town	42116	-33.8471823	18.6960251	Cape Town	South Africa	Africa	Csb	18	28	7	18	NA	661	55	14086	4178700	1981	17500	31449.6	5748	NA	NA	12	A2O	UCT	Yes	Yes	NA	NA	NA	NA	NA	771.97	NA	770	53.3	NA	61.4	65	5.23	NA	NA	NA	7.2	8	1.2	Yes	0.05	NA	1.1	7.2	15	NA	NA	NA	NA
SAKR2	SAKR1	SACT	Cape Town	42116	-33.8471823	18.6960251	Cape Town	South Africa	Africa	Csb	18	28	7	18	NA	661	55	14086	4178700	1981	17500	31449.6	5748	NA	NA	12	A2O	UCT	Yes	Yes	NA	NA	NA	NA	NA	771.97	NA	770	53.3	NA	61.4	65	5.23	NA	NA	NA	7.2	8	1.2	Yes	0.05	NA	1.1	7.2	15	NA	NA	NA	NA
SAKR3	SAKR1	SACT	Cape Town	42116	-33.8471823	18.6960251	Cape Town	South Africa	Africa	Csb	18	28	7	18	NA	661	55	14086	4178700	1981	17500	31449.6	5748	NA	NA	12	A2O	UCT	Yes	Yes	NA	NA	NA	NA	NA	771.97	NA	770	53.3	NA	61.4	65	5.23	NA	NA	NA	7.2	8	1.2	Yes	0.05	NA	1.1	7.2	15	NA	NA	NA	NA
SAKR4	SAKR1	SACT	Cape Town	42116	-33.8471823	18.6960251	Cape Town	South Africa	Africa	Csb	18	28	7	18	NA	661	55	14086	4178700	1981	17500	31449.6	5748	NA	NA	12	A2O	UCT	Yes	Yes	NA	NA	NA	NA	NA	771.97	NA	770	53.3	NA	61.4	65	5.23	NA	NA	NA	7.2	8	1.2	Yes	0.05	NA	1.1	7.2	15	NA	NA	NA	NA
SAKR5	SAKR1	SACT	Cape Town	42116	-33.8471823	18.6960251	Cape Town	South Africa	Africa	Csb	18	28	7	18	NA	661	55	14086	4178700	1981	17500	31449.6	5748	NA	NA	12	A2O	UCT	Yes	Yes	NA	NA	NA	NA	NA	771.97	NA	770	53.3	NA	61.4	65	5.23	NA	NA	NA	7.2	8	1.2	Yes	0.05	NA	1.1	7.2	15	NA	NA	NA	NA
SAKR6	SAKR1	SACT	Cape Town	42116	-33.8471823	18.6960251	Cape Town	South Africa	Africa	Csb	18	28	7	18	NA	661	55	14086	4178700	1981	17500	31449.6	5748	NA	NA	12	A2O	UCT	Yes	Yes	NA	NA	NA	NA	NA	771.97	NA	770	53.3	NA	61.4	65	5.23	NA	NA	NA	7.2	8	1.2	Yes	0.05	NA	1.1	7.2	15	NA	NA	NA	NA
SASC1	SASC1	SACT	Cape Town	42116	-33.8712423	18.7344695	Cape Town	South Africa	Africa	Csa	18	28	7	18	NA	661	55	14086	4178700	2006	12000	10000	1116	NA	NA	25	A2O	UCT; interchangeable (UCT/MUCT/JHB/3-stage Phoredox)	Yes	Yes	NA	NA	NA	NA	NA	969	NA	710	30	NA	89.1	70	1.5	148	NA	NA	15.1	10	2.2	Yes	0.075	5550	1.2	7.1	20	NA	NA	NA	NA
SASC2	SASC1	SACT	Cape Town	42116	-33.8712423	18.7344695	Cape Town	South Africa	Africa	Csa	18	28	7	18	NA	661	55	14086	4178700	2006	12000	10000	1116	NA	NA	25	A2O	UCT; interchangeable (UCT/MUCT/JHB/3-stage Phoredox)	Yes	Yes	NA	NA	NA	NA	NA	969	NA	710	30	NA	89.1	70	1.5	148	NA	NA	15.1	10	2.2	Yes	0.075	5550	1.2	7.1	20	NA	NA	NA	NA
SASC3	SASC1	SACT	Cape Town	42116	-33.8712423	18.7344695	Cape Town	South Africa	Africa	Csa	18	28	7	18	NA	661	55	14086	4178700	2006	12000	10000	1116	NA	NA	25	A2O	UCT; interchangeable (UCT/MUCT/JHB/3-stage Phoredox)	Yes	Yes	NA	NA	NA	NA	NA	969	NA	710	30	NA	89.1	70	1.5	148	NA	NA	15.1	10	2.2	Yes	0.075	5550	1.2	7.1	20	NA	NA	NA	NA
SASC4	SASC1	SACT	Cape Town	42116	-33.8712423	18.7344695	Cape Town	South Africa	Africa	Csa	18	28	7	18	NA	661	55	14086	4178700	2006	12000	10000	1116	NA	NA	25	A2O	UCT; interchangeable (UCT/MUCT/JHB/3-stage Phoredox)	Yes	Yes	NA	NA	NA	NA	NA	969	NA	710	30	NA	89.1	70	1.5	148	NA	NA	15.1	10	2.2	Yes	0.075	5550	1.2	7.1	20	NA	NA	NA	NA
