,phylo0,S,lat.abs,Latitude.Google,Temperature,hemi
SAKR1,360.40999,2579,33.8471823,-33.8471823,18,South
SAKR2,364.89261,2476,33.8471823,-33.8471823,18,South
SAKR3,367.63007,2591,33.8471823,-33.8471823,18,South
SAKR4,378.99787,2660,33.8471823,-33.8471823,18,South
SAKR5,370.00713,2571,33.8471823,-33.8471823,18,South
SAKR6,382.05668,2663,33.8471823,-33.8471823,18,South
SASC1,426.0588,3090,33.8712423,-33.8712423,18,South
SASC2,432.29266,3120,33.8712423,-33.8712423,18,South
SASC3,437.37983,3096,33.8712423,-33.8712423,18,South
SASC4,439.91785,3115,33.8712423,-33.8712423,18,South
SASC5,432.47367,3048,33.8712423,-33.8712423,18,South
SASC6,434.45678,3060,33.8712423,-33.8712423,18,South
SAKB1,321.30943,2146,30.075822,-30.075822,18,South
SAKB2,321.66625,2092,30.075822,-30.075822,18,South
SAKB3,322.43017,2103,30.075822,-30.075822,18,South
SAKB4,321.10675,2088,30.075822,-30.075822,18,South
SAKB5,323.94996,2096,30.075822,-30.075822,18,South
SAKB6,319.31099,2053,30.075822,-30.075822,18,South
SAPN1,302.2201,1805,29.702788,-29.702788,21,South
SAPN2,291.60847,1760,29.702788,-29.702788,21,South
SAPN3,302.72674,1825,29.702788,-29.702788,21,South
SAPN4,286.96486,1784,29.702788,-29.702788,21,South
SAPN5,295.3386,1724,29.702788,-29.702788,21,South
SAPN6,299.42045,1793,29.702788,-29.702788,21,South
SADP1,343.18864,2218,25.7362381,-25.7362381,21,South
SADP2,339.35018,2184,25.7362381,-25.7362381,21,South
SADP3,341.05058,2289,25.7362381,-25.7362381,21,South
SADP4,339.5927,2296,25.7362381,-25.7362381,21,South
SADP5,343.2124,2260,25.7362381,-25.7362381,21,South
SADP6,344.7628,2284,25.7362381,-25.7362381,21,South
SAZK1,351.77957,2313,25.5355278,-25.5355278,21,South
SAZK2,345.03452,2198,25.5355278,-25.5355278,21,South
SAZK3,337.45736,2172,25.5355278,-25.5355278,21,South
SAZK4,351.04473,2239,25.5355278,-25.5355278,21,South
SAZK5,343.11371,2215,25.5355278,-25.5355278,21,South
SAZK6,329.59281,2117,25.5355278,-25.5355278,21,South
CNBJ1AA,346.58633,2657,40.042203,40.042203,13.33333333,North
CNBJ1AB,381.03547,2787,40.042203,40.042203,13.33333333,North
CNBJ1AC,366.13491,2654,40.042203,40.042203,13.33333333,North
CNBJ1BA,361.26674,2723,40.042203,40.042203,13.33333333,North
CNBJ1BB,368.33707,2769,40.042203,40.042203,13.33333333,North
CNBJ1BC,361.49889,2686,40.042203,40.042203,13.33333333,North
CNBJ1CA,341.86014,2544,40.042203,40.042203,13.33333333,North
CNBJ1CB,327.81598,2481,40.042203,40.042203,13.33333333,North
CNBJ1CC,322.76265,2423,40.042203,40.042203,13.33333333,North
CNBJ2A,388.39262,2829,40.008492,40.008492,13.33333333,North
CNBJ2B,392.38658,2806,40.008492,40.008492,13.33333333,North
CNBJ2C,395.71501,2854,40.008492,40.008492,13.33333333,North
CNBJ3A,328.55652,2434,39.895727,39.895727,13.33333333,North
CNBJ3B,329.28171,2409,39.895727,39.895727,13.33333333,North
CNBJ3C,322.10532,2326,39.895727,39.895727,13.33333333,North
CNBJ4A,330.68251,2268,39.825675,39.825675,13.33333333,North
CNBJ4B,308.83134,2164,39.825675,39.825675,13.33333333,North
CNBJ4C,310.50031,2171,39.825675,39.825675,13.33333333,North
CNBJ5AA,398.84064,3002,39.923209,39.923209,13.33333333,North
CNBJ5AB,395.84547,2952,39.923209,39.923209,13.33333333,North
CNBJ5AC,403.6844,3008,39.923209,39.923209,13.33333333,North
CNBJ5BA,392.29862,2936,39.923209,39.923209,13.33333333,North
CNBJ5BB,385.7486,2877,39.923209,39.923209,13.33333333,North
CNBJ5BC,391.08679,2893,39.923209,39.923209,13.33333333,North
CNBJ6BA,344.98216,2594,40.44949,40.44949,13.33333333,North
CNBJ6BB,343.1776,2656,40.44949,40.44949,13.33333333,North
CNBJ6BC,338.95097,2579,40.44949,40.44949,13.33333333,North
CNCD1A,409.8654,3235,30.584053,30.584053,17.77777778,North
CNCD1B,417.52165,3238,30.584053,30.584053,17.77777778,North
CNCD1C,419.47723,3303,30.584053,30.584053,17.77777778,North
CNCD2A,416.04408,3093,30.661136,30.661136,17.77777778,North
CNCD2B,407.88613,2966,30.661136,30.661136,17.77777778,North
CNCD2C,418.71023,2891,30.661136,30.661136,17.77777778,North
CNCD3A,379.19413,2839,30.47377,30.47377,17.77777778,North
CNCD3B,355.38945,2686,30.47377,30.47377,17.77777778,North
CNCD3C,360.1751,2740,30.47377,30.47377,17.77777778,North
CNCD4A,408.8053,3005,30.512031,30.512031,17.77777778,North
CNCD4B,393.30688,2987,30.512031,30.512031,17.77777778,North
CNCD4C,387.8141,3002,30.512031,30.512031,17.77777778,North
CNSH1A,353.43403,2562,31.281531,31.281531,17.77777778,North
CNSH1B,360.35454,2626,31.281531,31.281531,17.77777778,North
CNSH1C,350.87589,2372,31.281531,31.281531,17.77777778,North
CNSH2A,415.10486,2990,31.250593,31.250593,17.77777778,North
CNSH2B,415.29884,2970,31.250593,31.250593,17.77777778,North
CNSH2C,419.21721,3018,31.250593,31.250593,17.77777778,North
CNSH3A,328.42432,2388,31.346326,31.346326,17.77777778,North
CNSH3B,347.46276,2567,31.346326,31.346326,17.77777778,North
CNSH3C,324.95215,2429,31.346326,31.346326,17.77777778,North
CNSH4A,353.48081,2571,31.345812,31.345812,17.77777778,North
CNSH4B,349.15374,2504,31.345812,31.345812,17.77777778,North
CNSH4C,348.29791,2494,31.345812,31.345812,17.77777778,North
CNSH5A,306.99393,2204,31.170311,31.170311,17.77777778,North
CNSH5B,314.43657,2233,31.170311,31.170311,17.77777778,North
CNSH5C,306.01889,2209,31.170311,31.170311,17.77777778,North
CNWX1AA,380.84693,2895,31.61163,31.61163,17.77777778,North
CNWX1AB,384.38302,2880,31.61163,31.61163,17.77777778,North
CNWX1AC,381.83881,2881,31.61163,31.61163,17.77777778,North
CNWX1BA,413.19785,3045,31.61163,31.61163,17.77777778,North
CNWX1BB,399.15661,2906,31.61163,31.61163,17.77777778,North
CNWX1BC,420.08933,3089,31.61163,31.61163,17.77777778,North
CNWX2A,370.70034,2758,31.536145,31.536145,17.77777778,North
CNWX2B,400.65427,2984,31.536145,31.536145,17.77777778,North
CNWX2C,355.7259,2695,31.536145,31.536145,17.77777778,North
CNWX3AA,346.0374,2645,31.492407,31.492407,17.77777778,North
CNWX3AB,339.57485,2602,31.492407,31.492407,17.77777778,North
CNWX3AC,333.47554,2618,31.492407,31.492407,17.77777778,North
CNWX3BA,338.86944,2624,31.492407,31.492407,17.77777778,North
